benchmarks/ii16a1.cnf, natalia, SAT, 54
benchmarks/ii16a1.cnf, benjamin, SAT, 1
benchmarks/ii16a1.cnf, thies, TIMEOUT, 648
benchmarks/ii16a2.cnf, natalia, SAT, 16
benchmarks/ii16a2.cnf, benjamin, SAT, 1
benchmarks/ii16a2.cnf, thies, EXCEPTION, 358
benchmarks/ii16b1.cnf, natalia, SAT, 39
benchmarks/ii16b1.cnf, benjamin, SAT, 1
benchmarks/ii16b1.cnf, thies, EXCEPTION, 514
benchmarks/ii16b2.cnf, natalia, SAT, 5
benchmarks/ii16b2.cnf, benjamin, SAT, 1
benchmarks/ii16b2.cnf, thies, EXCEPTION, 26
benchmarks/ii16c1.cnf, natalia, SAT, 52
benchmarks/ii16c1.cnf, benjamin, SAT, 1
benchmarks/ii16c1.cnf, thies, EXCEPTION, 299
benchmarks/ii16c2.cnf, natalia, SAT, 8
benchmarks/ii16c2.cnf, benjamin, SAT, 1
benchmarks/ii16c2.cnf, thies, EXCEPTION, 17
benchmarks/ii16d1.cnf, natalia, SAT, 4
benchmarks/ii16d1.cnf, benjamin, SAT, 1
benchmarks/ii16d1.cnf, thies, EXCEPTION, 152
benchmarks/ii16d2.cnf, natalia, SAT, 5
benchmarks/ii16d2.cnf, benjamin, SAT, 1
benchmarks/ii16d2.cnf, thies, EXCEPTION, 22
benchmarks/ii16e1.cnf, natalia, SAT, 15
benchmarks/ii16e1.cnf, benjamin, SAT, 1
benchmarks/ii16e1.cnf, thies, EXCEPTION, 218
benchmarks/ii16e2.cnf, natalia, SAT, 4
benchmarks/ii16e2.cnf, benjamin, SAT, 1
benchmarks/ii16e2.cnf, thies, EXCEPTION, 10
benchmarks/ii32a1.cnf, natalia, SAT, 2
benchmarks/ii32a1.cnf, benjamin, SAT, 1
benchmarks/ii32a1.cnf, thies, SAT, 8
benchmarks/ii32b1.cnf, natalia, SAT, 1
benchmarks/ii32b1.cnf, benjamin, SAT, 1
benchmarks/ii32b1.cnf, thies, SAT, 1
benchmarks/ii32b2.cnf, natalia, SAT, 1
benchmarks/ii32b2.cnf, benjamin, SAT, 1
benchmarks/ii32b2.cnf, thies, UNSAT, 2
benchmarks/ii32b3.cnf, natalia, SAT, 1
benchmarks/ii32b3.cnf, benjamin, SAT, 1
benchmarks/ii32b3.cnf, thies, UNSAT, 5
benchmarks/ii32b4.cnf, natalia, SAT, 1
benchmarks/ii32b4.cnf, benjamin, SAT, 1
benchmarks/ii32b4.cnf, thies, UNSAT, 6
benchmarks/ii32c1.cnf, natalia, SAT, 1
benchmarks/ii32c1.cnf, benjamin, SAT, 1
benchmarks/ii32c1.cnf, thies, SAT, 1
benchmarks/ii32c2.cnf, natalia, SAT, 1
benchmarks/ii32c2.cnf, benjamin, SAT, 1
benchmarks/ii32c2.cnf, thies, SAT, 2
benchmarks/ii32c3.cnf, natalia, SAT, 1
benchmarks/ii32c3.cnf, benjamin, SAT, 1
benchmarks/ii32c3.cnf, thies, UNSAT, 3
benchmarks/ii32c4.cnf, natalia, SAT, 3
benchmarks/ii32c4.cnf, benjamin, SAT, 1
benchmarks/ii32c4.cnf, thies, EXCEPTION, 30
benchmarks/ii32d1.cnf, natalia, SAT, 1
benchmarks/ii32d1.cnf, benjamin, SAT, 1
benchmarks/ii32d1.cnf, thies, SAT, 2
benchmarks/ii32d2.cnf, natalia, SAT, 4
benchmarks/ii32d2.cnf, benjamin, SAT, 1
benchmarks/ii32d2.cnf, thies, SAT, 5
benchmarks/ii32d3.cnf, natalia, SAT, 71
benchmarks/ii32d3.cnf, benjamin, SAT, 5
benchmarks/ii32d3.cnf, thies, EXCEPTION, 42
benchmarks/ii32e1.cnf, natalia, SAT, 1
benchmarks/ii32e1.cnf, benjamin, SAT, 1
benchmarks/ii32e1.cnf, thies, SAT, 1
benchmarks/ii32e2.cnf, natalia, SAT, 1
benchmarks/ii32e2.cnf, benjamin, SAT, 1
benchmarks/ii32e2.cnf, thies, SAT, 2
benchmarks/ii32e3.cnf, natalia, SAT, 1
benchmarks/ii32e3.cnf, benjamin, SAT, 1
benchmarks/ii32e3.cnf, thies, UNSAT, 4
benchmarks/ii32e4.cnf, natalia, SAT, 4
benchmarks/ii32e4.cnf, benjamin, SAT, 1
benchmarks/ii32e4.cnf, thies, UNSAT, 5
benchmarks/ii32e5.cnf, natalia, SAT, 2
benchmarks/ii32e5.cnf, benjamin, SAT, 1
benchmarks/ii32e5.cnf, thies, EXCEPTION, 13
benchmarks/ii8a1.cnf, natalia, SAT, 1
benchmarks/ii8a1.cnf, benjamin, SAT, 1
benchmarks/ii8a1.cnf, thies, SAT, 1
benchmarks/ii8a2.cnf, natalia, SAT, 1
benchmarks/ii8a2.cnf, benjamin, SAT, 1
benchmarks/ii8a2.cnf, thies, SAT, 1
benchmarks/ii8a3.cnf, natalia, SAT, 1
benchmarks/ii8a3.cnf, benjamin, SAT, 1
benchmarks/ii8a3.cnf, thies, SAT, 2
benchmarks/ii8a4.cnf, natalia, SAT, 4
benchmarks/ii8a4.cnf, benjamin, SAT, 1
benchmarks/ii8a4.cnf, thies, SAT, 6
benchmarks/ii8b1.cnf, natalia, SAT, 1
benchmarks/ii8b1.cnf, benjamin, SAT, 1
benchmarks/ii8b1.cnf, thies, SAT, 3
benchmarks/ii8b2.cnf, natalia, SAT, 1
benchmarks/ii8b2.cnf, benjamin, SAT, 1
benchmarks/ii8b2.cnf, thies, EXCEPTION, 9
benchmarks/ii8b3.cnf, natalia, SAT, 2
benchmarks/ii8b3.cnf, benjamin, SAT, 1
benchmarks/ii8b3.cnf, thies, EXCEPTION, 22
benchmarks/ii8b4.cnf, natalia, SAT, 2
benchmarks/ii8b4.cnf, benjamin, SAT, 1
benchmarks/ii8b4.cnf, thies, EXCEPTION, 42
benchmarks/ii8c1.cnf, natalia, SAT, 1
benchmarks/ii8c1.cnf, benjamin, SAT, 1
benchmarks/ii8c1.cnf, thies, SAT, 7
benchmarks/ii8c2.cnf, natalia, SAT, 2
benchmarks/ii8c2.cnf, benjamin, SAT, 1
benchmarks/ii8c2.cnf, thies, EXCEPTION, 38
benchmarks/ii8d1.cnf, natalia, SAT, 1
benchmarks/ii8d1.cnf, benjamin, SAT, 1
benchmarks/ii8d1.cnf, thies, SAT, 9
benchmarks/ii8d2.cnf, natalia, SAT, 2
benchmarks/ii8d2.cnf, benjamin, SAT, 1
benchmarks/ii8d2.cnf, thies, EXCEPTION, 32
benchmarks/ii8e1.cnf, natalia, SAT, 1
benchmarks/ii8e1.cnf, benjamin, SAT, 1
benchmarks/ii8e1.cnf, thies, SAT, 7
benchmarks/ii8e2.cnf, natalia, SAT, 2
benchmarks/ii8e2.cnf, benjamin, SAT, 1
benchmarks/ii8e2.cnf, thies, EXCEPTION, 27
benchmarks/php_11_15.dimacs, natalia, SAT, 1
benchmarks/php_11_15.dimacs, benjamin, SAT, 16
benchmarks/php_11_15.dimacs, thies, SAT, 1
benchmarks/php_13_10.dimacs, natalia, TIMEOUT, 603
benchmarks/php_13_10.dimacs, benjamin, UNSAT, 65
benchmarks/php_13_10.dimacs, thies, TIMEOUT, 603
benchmarks/php_15_20.dimacs, natalia, SAT, 1
benchmarks/php_15_20.dimacs, benjamin, TIMEOUT, 603
benchmarks/php_15_20.dimacs, thies, TIMEOUT, 610
benchmarks/php_18_25.dimacs, natalia, SAT, 2
benchmarks/php_18_25.dimacs, benjamin, TIMEOUT, 609
benchmarks/php_18_25.dimacs, thies, TIMEOUT, 612
benchmarks/php_20_15.dimacs, natalia, TIMEOUT, 610
benchmarks/php_20_15.dimacs, benjamin, TIMEOUT, 611
benchmarks/php_20_15.dimacs, thies, TIMEOUT, 612
benchmarks/php_22_30.dimacs, natalia, SAT, 5
benchmarks/php_22_30.dimacs, benjamin, TIMEOUT, 611
benchmarks/php_22_30.dimacs, thies, EXCEPTION, 63
benchmarks/php_26_20.dimacs, natalia, TIMEOUT, 612
benchmarks/php_26_20.dimacs, benjamin, TIMEOUT, 612
benchmarks/php_26_20.dimacs, thies, EXCEPTION, 51
benchmarks/php_26_35.dimacs, natalia, SAT, 9
benchmarks/php_26_35.dimacs, benjamin, TIMEOUT, 612
benchmarks/php_26_35.dimacs, thies, EXCEPTION, 353
benchmarks/php_30_40.dimacs, natalia, SAT, 17
benchmarks/php_30_40.dimacs, benjamin, TIMEOUT, 611
benchmarks/php_30_40.dimacs, thies, TIMEOUT, 614
benchmarks/php_33_25.dimacs, natalia, TIMEOUT, 611
benchmarks/php_33_25.dimacs, benjamin, TIMEOUT, 612
benchmarks/php_33_25.dimacs, thies, EXCEPTION, 389
benchmarks/php_33_45.dimacs, natalia, SAT, 34
benchmarks/php_33_45.dimacs, benjamin, TIMEOUT, 612
benchmarks/php_33_45.dimacs, thies, TIMEOUT, 614
benchmarks/php_37_50.dimacs, natalia, SAT, 82
benchmarks/php_37_50.dimacs, benjamin, TIMEOUT, 616
benchmarks/php_37_50.dimacs, thies, TIMEOUT, 616
benchmarks/php_3_5.dimacs, natalia, SAT, 1
benchmarks/php_3_5.dimacs, benjamin, SAT, 1
benchmarks/php_3_5.dimacs, thies, SAT, 1
benchmarks/php_40_30.dimacs, natalia, TIMEOUT, 618
benchmarks/php_40_30.dimacs, benjamin, TIMEOUT, 615
benchmarks/php_40_30.dimacs, thies, TIMEOUT, 619
benchmarks/php_46_35.dimacs, natalia, TIMEOUT, 615
benchmarks/php_46_35.dimacs, benjamin, TIMEOUT, 618
benchmarks/php_46_35.dimacs, thies, TIMEOUT, 619
benchmarks/php_53_40.dimacs, natalia, TIMEOUT, 619
benchmarks/php_53_40.dimacs, benjamin, TIMEOUT, 619
benchmarks/php_53_40.dimacs, thies, TIMEOUT, 623
benchmarks/php_60_45.dimacs, natalia, TIMEOUT, 619
benchmarks/php_60_45.dimacs, benjamin, TIMEOUT, 618
benchmarks/php_60_45.dimacs, thies, TIMEOUT, 619
benchmarks/php_66_50.dimacs, natalia, TIMEOUT, 622
benchmarks/php_66_50.dimacs, benjamin, TIMEOUT, 1475
benchmarks/php_66_50.dimacs, thies, TIMEOUT, 620
benchmarks/php_6_5.dimacs, natalia, UNSAT, 1
benchmarks/php_6_5.dimacs, benjamin, UNSAT, 1
benchmarks/php_6_5.dimacs, thies, UNSAT, 1
benchmarks/php_7_10.dimacs, natalia, SAT, 2
benchmarks/php_7_10.dimacs, benjamin, SAT, 1
benchmarks/php_7_10.dimacs, thies, SAT, 1
